jurisdiction,date,deaths,cause
United States,2017-04-15,11624,cancer
United States,2017-04-15,12402,heart
United States,2017-04-15,54863,all
United States,2017-04-15,50156,natural
United States,2017-04-22,11358,cancer
United States,2017-04-22,12088,heart
United States,2017-04-22,53071,all
United States,2017-04-22,48493,natural
United States,2017-04-29,11451,cancer
United States,2017-04-29,12428,heart
United States,2017-04-29,53297,all
United States,2017-04-29,48569,natural
United States,2017-05-06,11300,cancer
United States,2017-05-06,12007,heart
United States,2017-05-06,52658,all
United States,2017-05-06,47851,natural
United States,2017-05-13,11285,cancer
United States,2017-05-13,11955,heart
United States,2017-05-13,51987,all
United States,2017-05-13,47376,natural
United States,2017-05-20,11408,cancer
United States,2017-05-20,12200,heart
United States,2017-05-20,52481,all
United States,2017-05-20,47655,natural
United States,2017-05-27,11088,cancer
United States,2017-05-27,11707,heart
United States,2017-05-27,50976,all
United States,2017-05-27,46223,natural
United States,2017-06-03,11187,cancer
United States,2017-06-03,11780,heart
United States,2017-06-03,51257,all
United States,2017-06-03,46341,natural
United States,2017-06-10,11241,cancer
United States,2017-06-10,11848,heart
United States,2017-06-10,51424,all
United States,2017-06-10,46482,natural
United States,2017-06-17,11127,cancer
United States,2017-06-17,11748,heart
United States,2017-06-17,50799,all
United States,2017-06-17,45999,natural
United States,2017-06-24,11491,cancer
United States,2017-06-24,11504,heart
United States,2017-06-24,51195,all
United States,2017-06-24,46283,natural
United States,2017-07-01,11359,cancer
United States,2017-07-01,11613,heart
United States,2017-07-01,50618,all
United States,2017-07-01,45768,natural
United States,2017-07-08,11512,cancer
United States,2017-07-08,11572,heart
United States,2017-07-08,50961,all
United States,2017-07-08,45727,natural
United States,2017-07-15,11326,cancer
United States,2017-07-15,11387,heart
United States,2017-07-15,49975,all
United States,2017-07-15,45199,natural
United States,2017-07-22,11422,cancer
United States,2017-07-22,11307,heart
United States,2017-07-22,50132,all
United States,2017-07-22,45290,natural
United States,2017-07-29,11292,cancer
United States,2017-07-29,11079,heart
United States,2017-07-29,49364,all
United States,2017-07-29,44594,natural
United States,2017-08-05,11172,cancer
United States,2017-08-05,11351,heart
United States,2017-08-05,50091,all
United States,2017-08-05,45184,natural
United States,2017-08-12,11463,cancer
United States,2017-08-12,11275,heart
United States,2017-08-12,50238,all
United States,2017-08-12,45417,natural
United States,2017-08-19,11431,cancer
United States,2017-08-19,11299,heart
United States,2017-08-19,50188,all
United States,2017-08-19,45455,natural
United States,2017-08-26,11254,cancer
United States,2017-08-26,11171,heart
United States,2017-08-26,49517,all
United States,2017-08-26,44877,natural
United States,2017-09-02,11615,cancer
United States,2017-09-02,11461,heart
United States,2017-09-02,50832,all
United States,2017-09-02,46087,natural
United States,2017-09-09,11273,cancer
United States,2017-09-09,11580,heart
United States,2017-09-09,50983,all
United States,2017-09-09,46238,natural
United States,2017-09-16,11394,cancer
United States,2017-09-16,11709,heart
United States,2017-09-16,51696,all
United States,2017-09-16,46944,natural
United States,2017-09-23,11430,cancer
United States,2017-09-23,11534,heart
United States,2017-09-23,51230,all
United States,2017-09-23,46489,natural
United States,2017-09-30,11495,cancer
United States,2017-09-30,11459,heart
United States,2017-09-30,51344,all
United States,2017-09-30,46403,natural
United States,2017-10-07,11636,cancer
United States,2017-10-07,11774,heart
United States,2017-10-07,52112,all
United States,2017-10-07,47226,natural
United States,2017-10-14,11534,cancer
United States,2017-10-14,11631,heart
United States,2017-10-14,51582,all
United States,2017-10-14,46930,natural
United States,2017-10-21,11607,cancer
United States,2017-10-21,11883,heart
United States,2017-10-21,52234,all
United States,2017-10-21,47683,natural
United States,2017-10-28,11500,cancer
United States,2017-10-28,11988,heart
United States,2017-10-28,52551,all
United States,2017-10-28,47948,natural
United States,2017-11-04,11601,cancer
United States,2017-11-04,12184,heart
United States,2017-11-04,53680,all
United States,2017-11-04,48905,natural
United States,2017-11-11,11560,cancer
United States,2017-11-11,12088,heart
United States,2017-11-11,53261,all
United States,2017-11-11,48502,natural
United States,2017-11-18,11445,cancer
United States,2017-11-18,12411,heart
United States,2017-11-18,53775,all
United States,2017-11-18,49141,natural
United States,2017-11-25,11606,cancer
United States,2017-11-25,12609,heart
United States,2017-11-25,54122,all
United States,2017-11-25,49534,natural
United States,2017-12-02,11410,cancer
United States,2017-12-02,12652,heart
United States,2017-12-02,54762,all
United States,2017-12-02,50104,natural
United States,2017-12-09,11566,cancer
United States,2017-12-09,12856,heart
United States,2017-12-09,55597,all
United States,2017-12-09,50838,natural
United States,2017-12-16,11736,cancer
United States,2017-12-16,13438,heart
United States,2017-12-16,57376,all
United States,2017-12-16,52761,natural
United States,2017-12-23,12042,cancer
United States,2017-12-23,13950,heart
United States,2017-12-23,59506,all
United States,2017-12-23,54749,natural
United States,2017-12-30,11689,cancer
United States,2017-12-30,14766,heart
United States,2017-12-30,61093,all
United States,2017-12-30,56483,natural
United States,2018-01-06,11920,cancer
United States,2018-01-06,16020,heart
United States,2018-01-06,66142,all
United States,2018-01-06,61016,natural
United States,2018-01-13,12408,cancer
United States,2018-01-13,15937,heart
United States,2018-01-13,67501,all
United States,2018-01-13,62573,natural
United States,2018-01-20,11871,cancer
United States,2018-01-20,14900,heart
United States,2018-01-20,64650,all
United States,2018-01-20,60052,natural
United States,2018-01-27,11812,cancer
United States,2018-01-27,14336,heart
United States,2018-01-27,62784,all
United States,2018-01-27,58011,natural
United States,2018-02-03,11499,cancer
United States,2018-02-03,13902,heart
United States,2018-02-03,60980,all
United States,2018-02-03,56268,natural
United States,2018-02-10,11912,cancer
United States,2018-02-10,14182,heart
United States,2018-02-10,61115,all
United States,2018-02-10,56392,natural
United States,2018-02-17,11717,cancer
United States,2018-02-17,13781,heart
United States,2018-02-17,59784,all
United States,2018-02-17,55194,natural
United States,2018-02-24,11515,cancer
United States,2018-02-24,13277,heart
United States,2018-02-24,57798,all
United States,2018-02-24,53232,natural
United States,2018-03-03,11358,cancer
